,accelerometer_raw,time,iss_height,iss_coordinates
118,"{'x': 0.01848482258725401, 'y': 0.033723885504962844, 'z': 0.014403290594461122}",1735914289.078799,414192.1453991078,"-44.21316529029104, -64.74631119058712"
119,"{'x': 0.018118422137902282, 'y': 0.0334279984235763, 'z': 0.012903634879300137}",1735914290.079991,414189.2044191373,"-44.24571197873152, -64.67293897683538"
120,"{'x': 0.01942218444057915, 'y': 0.03299868922606236, 'z': 0.012805378064011596}",1735914291.0823722,414186.26622077334,"-44.27821410048176, -64.59946271720523"
121,"{'x': 0.01931667353355058, 'y': 0.03305691572525133, 'z': 0.01358775683466156}",1735914292.084278,414183.32788440434,"-44.310658368665436, -64.52591210089999"
122,"{'x': 0.0190319996327161, 'y': 0.033318366627656144, 'z': 0.012871838669143007}",1735914293.0887392,414180.38618341106,"-44.34312256592548, -64.45210982904861"
123,"{'x': 0.01875033999183129, 'y': 0.033659444614730125, 'z': 0.014564682193105498}",1735914294.084217,414177.4740841027,"-44.375228373822026, -64.37891785336656"
124,"{'x': 0.01815953260757054, 'y': 0.03394263819806091, 'z': 0.013857745462902202}",1735914295.08898,414174.53854226606,"-44.40757294023035, -64.30497465904634"
125,"{'x': 0.01919066280240418, 'y': 0.03298888322106944, 'z': 0.011492442172725692}",1735914296.091546,414171.6077406603,"-44.439830989752664, -64.23102105536044"
126,"{'x': 0.018262816503042054, 'y': 0.032470590621900074, 'z': 0.012255775664355218}",1735914297.0872161,414168.7012760552,"-44.4717998965901, -64.15752386239782"
127,"{'x': 0.017472145299993445, 'y': 0.03359359883286199, 'z': 0.012740290296749703}",1735914298.096159,414165.7689163406,"-44.50403498910227, -64.08320523110172"
128,"{'x': 0.018476852248377907, 'y': 0.0338527547463927, 'z': 0.01350003261756606}",1735914299.0994601,414162.8389961333,"-44.53621174992272, -64.00880993950312"
129,"{'x': 0.01943455397190682, 'y': 0.03301476528137395, 'z': 0.014098596194771638}",1735914300.099942,414159.9267438747,"-44.568163564726675, -63.93472462030078"
130,"{'x': 0.018343249001277376, 'y': 0.03403025341113406, 'z': 0.014238496903266942}",1735914301.1043048,414157.0047739796,"-44.600198803026366, -63.86023427910294"
131,"{'x': 0.018989286655371675, 'y': 0.0342230016351133, 'z': 0.013409855649057003}",1735914302.1067982,414154.09414599184,"-44.63210003170142, -63.78584361502292"
132,"{'x': 0.018785188284136507, 'y': 0.03318540457059059, 'z': 0.01244540497619926}",1735914303.106,414151.1906371119,"-44.66386757110895, -63.7115531517597"
133,"{'x': 0.01866990222141885, 'y': 0.03324304760194941, 'z': 0.012503048227576394}",1735914304.107092,414148.287144422,"-44.69562703492832, -63.63706914963345"
134,"{'x': 0.01855439228600665, 'y': 0.0333008025696555, 'z': 0.012560803415728053}",1735914305.110239,414145.3825086188,"-44.72738525168196, -63.56237427585529"
135,"{'x': 0.018439179923069707, 'y': 0.03335840875112396, 'z': 0.012618409817074176}",1735914306.108895,414142.49039823277,"-44.75896601814929, -63.48788334665529"
136,"{'x': 0.018323897677143975, 'y': 0.03341604987408681, 'z': 0.012676051160048066}",1735914307.112898,414139.58932096214,"-44.790645127029904, -63.412945210503345"
137,"{'x': 0.018741453339807895, 'y': 0.032922545761071245, 'z': 0.013878908877666197}",1735914308.1218188,414136.67583507067,"-44.82242282824264, -63.337555811711354"
138,"{'x': 0.01809846393834142, 'y': 0.03201174427372887, 'z': 0.012979743891924493}",1735914309.1248379,414133.7841591475,"-44.85395331148625, -63.26253562222647"
139,"{'x': 0.01880268154713963, 'y': 0.033624665803118924, 'z': 0.014072017336431479}",1735914310.1222131,414130.9082591811,"-44.88527061795097, -63.187806945782526"
140,"{'x': 0.018481066977617568, 'y': 0.0335814642878187, 'z': 0.01397093263632468}",1735914311.126821,414128.01608499786,"-44.91675085865919, -63.11247137130022"
141,"{'x': 0.01819251693636315, 'y': 0.03308670547208258, 'z': 0.014308895999184775}",1735914312.1335309,414125.1218770021,"-44.94823932540108, -63.03689586902184"
142,"{'x': 0.01803129789787223, 'y': 0.03301309964793238, 'z': 0.012077497930514347}",1735914313.131789,414122.2499446903,"-44.979448792536296, -62.96177116441576"
143,"{'x': 0.018406091459599407, 'y': 0.03283390914424568, 'z': 0.013975181366201718}",1735914314.138259,414119.3653675145,"-45.01079833188254, -62.8860884700606"
144,"{'x': 0.01847227271947666, 'y': 0.03325572628226464, 'z': 0.012702408958141303}",1735914315.142085,414116.48964341136,"-45.04203075501663, -62.8104669335488"
145,"{'x': 0.0180559996515512, 'y': 0.034455931645683766, 'z': 0.014258807262478001}",1735914316.147603,414113.61323310656,"-45.07324799885322, -62.734659630597825"
146,"{'x': 0.017499439482232534, 'y': 0.0334279984235763, 'z': 0.014280479682712755}",1735914317.1515431,414110.7423441494,"-45.10439672015559, -62.658795468419484"
147,"{'x': 0.01922032443071864, 'y': 0.03300277506856939, 'z': 0.012917799640729243}",1735914318.156845,414107.8700954644,"-45.13550481831701, -62.58280613410453"
148,"{'x': 0.01861040722012144, 'y': 0.032873592717651196, 'z': 0.013220776246639084}",1735914319.1571069,414105.0142714426,"-45.16643050862148, -62.50703884417862"
149,"{'x': 0.019431479077623128, 'y': 0.033095479151805926, 'z': 0.012355479214177347}",1735914320.15772,414102.1667488433,"-45.19726838794632, -62.431263228063656"
150,"{'x': 0.018218513777957426, 'y': 0.033021940981920135, 'z': 0.012443770954170921}",1735914321.159449,414099.3172249655,"-45.228098283619765, -62.35528262832022"
151,"{'x': 0.01849700369363013, 'y': 0.03329666284616815, 'z': 0.012415674290198938}",1735914322.165695,414096.4589913512,"-45.259013128158486, -62.27886560189266"
152,"{'x': 0.01909917156867588, 'y': 0.03310089628698074, 'z': 0.013430620089378857}",1735914323.170281,414093.6116139948,"-45.289821011290584, -62.202485186037336"
153,"{'x': 0.01945773781792539, 'y': 0.0331839993596077, 'z': 0.012993251971062342}",1735914324.169738,414090.7765750454,"-45.320420890629826, -62.12639379831324"
154,"{'x': 0.019137649723304295, 'y': 0.0331839993596077, 'z': 0.013057269638856308}",1735914325.1711402,414087.94328011497,"-45.35102048369975, -62.05007564602854"
155,"{'x': 0.018816957214372584, 'y': 0.0331839993596077, 'z': 0.013121408189604673}",1735914326.174758,414085.1083876099,"-45.381616553178375, -61.973537249212974"
156,"{'x': 0.02000267460116813, 'y': 0.03283611424967339, 'z': 0.012708776916754662}",1735914327.171227,414082.2931704466,"-45.4119739581403, -61.89736795111523"
157,"{'x': 0.0178119987249374, 'y': 0.03302577017552169, 'z': 0.014143475100953566}",1735914328.181688,414079.4485194087,"-45.44266142094297, -61.82013811545841"
158,"{'x': 0.017994354937735706, 'y': 0.03280258964402364, 'z': 0.013633177379401258}",1735914329.1782131,414076.6455186762,"-45.47286371763682, -61.74389952365069"
159,"{'x': 0.020172784770032575, 'y': 0.03319035232161809, 'z': 0.013221961070754953}",1735914330.179533,414073.8293506638,"-45.5032064016897, -61.66707541209383"
160,"{'x': 0.018758350791048123, 'y': 0.03310076304370782, 'z': 0.011920641017368592}",1735914331.183806,414071.0155524699,"-45.53353456978242, -61.5900548924812"
161,"{'x': 0.01917986195581008, 'y': 0.03235830034439205, 'z': 0.012934437273842815}",1735914332.188451,414068.20256416796,"-45.56379718356283, -61.512966842096496"
162,"{'x': 0.019006767905616482, 'y': 0.03295261611103538, 'z': 0.012006463223469642}",1735914333.188182,414065.40554115234,"-45.593917223946704, -61.43600819857672"
163,"{'x': 0.018389447661061237, 'y': 0.032495402383964304, 'z': 0.014019149209518907}",1735914334.195968,414062.59200217936,"-45.624187527171216, -61.35842896686057"
164,"{'x': 0.018791019382541345, 'y': 0.03221202694190384, 'z': 0.014885006603630483}",1735914335.193353,414059.80813366576,"-45.65410283919777, -61.28152476928898"
165,"{'x': 0.01831916447879101, 'y': 0.033659221586303974, 'z': 0.01243761178485005}",1735914336.2038789,414057.0038590985,"-45.684262679514475, -61.203753994846174"
166,"{'x': 0.0178932021613113, 'y': 0.03285869998086936, 'z': 0.013501398486137699}",1735914337.205097,414054.2160861708,"-45.714225846922815, -61.126252053807505"
167,"{'x': 0.019326692224339775, 'y': 0.0331839993596077, 'z': 0.012213742967882156}",1735914338.207724,414051.4349929503,"-45.74410165026435, -61.048737871677716"
168,"{'x': 0.019841023198426913, 'y': 0.03346650986228149, 'z': 0.012970511336135134}",1735914339.2101738,414048.65722006577,"-45.77392683844356, -60.97111602210527"
169,"{'x': 0.0187879987061023, 'y': 0.03292600620645763, 'z': 0.01271598541437389}",1735914340.212571,414045.8841551851,"-45.8036956965261, -60.8934009240187"
170,"{'x': 0.017105833594613692, 'y': 0.03245716528247586, 'z': 0.013435500083721595}",1735914341.219584,414043.1074303335,"-45.83351260523333, -60.81531841805958"
171,"{'x': 0.019176050757093, 'y': 0.03328394835768686, 'z': 0.013530734575089805}",1735914342.2211971,414040.3474572576,"-45.86311938535142, -60.73754481424301"
172,"{'x': 0.01844897618361353, 'y': 0.03249258730409237, 'z': 0.013013172403467761}",1735914343.223885,414037.5878208414,"-45.892730589674116, -60.65951724622057"
173,"{'x': 0.01910496594516458, 'y': 0.03233627550227203, 'z': 0.011827723808646407}",1735914344.225415,414034.8374639606,"-45.92222793657073, -60.58154695738376"
174,"{'x': 0.01884066151785589, 'y': 0.03253450407495918, 'z': 0.011629495488164884}",1735914345.2310688,414032.08232558763,"-45.95178029638246, -60.50318649849381"
175,"{'x': 0.018577417068188752, 'y': 0.03273193766340371, 'z': 0.011432062150914522}",1735914346.2261372,414029.35739880305,"-45.9809838364653, -60.42550851671394"
176,"{'x': 0.01831271685900704, 'y': 0.03293046307287329, 'z': 0.01123353699402823}",1735914347.235086,414026.6018253732,"-46.010522615432244, -60.34669183848696"
177,"{'x': 0.01843966037531605, 'y': 0.03261439483634491, 'z': 0.012943773896408372}",1735914348.238215,414023.86719457136,"-46.039829900577985, -60.26824551096657"
178,"{'x': 0.018663010508555563, 'y': 0.034772989391546986, 'z': 0.013181977099666358}",1735914349.244017,414021.13571191195,"-46.06912476471923, -60.18958437868651"
179,"{'x': 0.01796218528238242, 'y': 0.033521813150824746, 'z': 0.0131759997457265}",1735914350.239178,414018.4277914387,"-46.09811047423818, -60.11150745427013"
180,"{'x': 0.019032337099259725, 'y': 0.033428335887543834, 'z': 0.013420337206273307}",1735914351.2436512,414015.70630985947,"-46.127266364498915, -60.032723494322205"
181,"{'x': 0.0192760005593299, 'y': 0.033671997487545, 'z': 0.012379093617122257}",1735914352.2520351,414012.97887686116,"-46.15648376188518, -59.95352129313457"
182,"{'x': 0.018696490423109568, 'y': 0.0324519984424114, 'z': 0.01166624495338724}",1735914353.2557282,414010.26982624,"-46.18549745888555, -59.874619711264145"
183,"{'x': 0.01866891290457441, 'y': 0.03341009492770205, 'z': 0.01244982597158959}",1735914354.257022,414007.57145906996,"-46.2143934592948, -59.795787137140536"
184,"{'x': 0.017538073209445497, 'y': 0.03264248246573931, 'z': 0.013068963439503813}",1735914355.259818,414004.8749554226,"-46.24327146440217, -59.71675142951112"
185,"{'x': 0.017786728764972188, 'y': 0.032721271191635565, 'z': 0.013342225432940289}",1735914356.265141,414002.1793814934,"-46.27214161744169, -59.63748323819775"
