,accelerometer_raw,time,iss_height,iss_coordinates
258,"{'x': 0.017626921587354114, 'y': 0.03292337565269232, 'z': 0.011375832066799756}",1735914429.471173,413824.1350304681,"-48.203201551242884, -53.62874929583696"
259,"{'x': 0.019653429016406668, 'y': 0.03445928408424058, 'z': 0.01517371932705831}",1735914430.477689,413821.9888821767,"-48.227266159761534, -53.54297240817872"
260,"{'x': 0.019147380421489953, 'y': 0.03306672630289912, 'z': 0.013537271397132962}",1735914431.4814348,413819.8554328766,"-48.25120810170359, -53.45729847904627"
261,"{'x': 0.0192760005593299, 'y': 0.03313662713868148, 'z': 0.0147821169226991}",1735914432.488954,413817.7275869043,"-48.275142160158644, -53.371316202959086"
262,"{'x': 0.01760493004784973, 'y': 0.034049207616289615, 'z': 0.013641582908063807}",1735914433.491721,413815.617763179,"-48.29889834332117, -53.28563687791537"
263,"{'x': 0.017712837845891286, 'y': 0.03357674049912187, 'z': 0.014735257826463729}",1735914434.491202,413813.52641440334,"-48.3225201853509, -53.20010679780476"
264,"{'x': 0.017600908870311814, 'y': 0.03374463481693684, 'z': 0.014567363722260206}",1735914435.495256,413811.42955189914,"-48.34617449499135, -53.11412080909129"
265,"{'x': 0.017489080099008725, 'y': 0.0339123788275723, 'z': 0.014399619925044954}",1735914436.497979,413809.3505699611,"-48.36970921624904, -53.028230156457376"
266,"{'x': 0.017377312733780924, 'y': 0.03408003072862605, 'z': 0.014231968237294217}",1735914437.493037,413807.29149749654,"-48.39303403542241, -52.94276819176518"
267,"{'x': 0.0187452439873239, 'y': 0.0339587549955824, 'z': 0.012479199973757332}",1735914438.500044,413805.22436779813,"-48.416524136120515, -52.85635779344213"
268,"{'x': 0.017391127596422317, 'y': 0.03414881153600413, 'z': 0.014006557709764347}",1735914439.5023491,413803.1702082588,"-48.439874794322364, -52.77011589919878"
269,"{'x': 0.019435874596134193, 'y': 0.032266891852728324, 'z': 0.012746892454216927}",1735914440.5004642,413801.1358826498,"-48.46304301944391, -52.68420493308896"
270,"{'x': 0.0192637257030973, 'y': 0.0331839993596077, 'z': 0.010883297505385362}",1735914441.50412,413799.1027041876,"-48.48625617913208, -52.59778134154052"
271,"{'x': 0.018746114212384726, 'y': 0.03298188556080688, 'z': 0.012848228900354933}",1735914442.502742,413797.08771638287,"-48.50929215306602, -52.51167153783827"
272,"{'x': 0.018524865705490803, 'y': 0.03355956535302548, 'z': 0.01289491833656925}",1735914443.507356,413795.07095692435,"-48.532391519544404, -52.42497522957559"
273,"{'x': 0.0192760005593299, 'y': 0.03363109625912747, 'z': 0.013297295587416217}",1735914444.511533,413793.0715307072,"-48.555376960848164, -52.33835548223268"
274,"{'x': 0.01871538451934215, 'y': 0.03474677151490041, 'z': 0.012930047352301422}",1735914445.509065,413791.0846103384,"-48.578197851499404, -52.25200584390566"
275,"{'x': 0.01699191789508649, 'y': 0.032977714580511804, 'z': 0.013009958394769778}",1735914446.5163891,413789.0934471046,"-48.6011394769979, -52.16484419909796"
276,"{'x': 0.018897797666748078, 'y': 0.033049797455740056, 'z': 0.012846607008165457}",1735914447.518123,413787.1253049828,"-48.62387899647809, -52.07809532273882"
277,"{'x': 0.018954533687268276, 'y': 0.03386435605034551, 'z': 0.014126177712222238}",1735914448.521139,413785.1617991729,"-48.6465892481552, -51.991101555553975"
278,"{'x': 0.01736304511805455, 'y': 0.033301133518888824, 'z': 0.012609910414976297}",1735914449.522769,413783.2118650116,"-48.66918905918999, -51.90417339547502"
279,"{'x': 0.01740830046842936, 'y': 0.03343690026095574, 'z': 0.012519399368755412}",1735914450.520554,413781.2797063369,"-48.69163870586712, -51.81746607022206"
280,"{'x': 0.01745374032717013, 'y': 0.03357322053093756, 'z': 0.012428519304394101}",1735914451.5298262,413779.3383147425,"-48.71425853240777, -51.72973801330186"
281,"{'x': 0.01749899437302745, 'y': 0.03370898335943211, 'z': 0.01233801086721815}",1735914452.52762,413777.42731647205,"-48.73654237999159, -51.642952475504494"
282,"{'x': 0.017544396109670405, 'y': 0.03384518926253843, 'z': 0.01224720704734349}",1735914453.532671,413775.511398592,"-48.758944662966094, -51.5553411240671"
283,"{'x': 0.01813152753272551, 'y': 0.033225831180596806, 'z': 0.013251526824187017}",1735914454.5355809,413773.61749326397,"-48.78116226697193, -51.46808712123521"
284,"{'x': 0.01918994378764299, 'y': 0.03359201482464739, 'z': 0.012608015534892773}",1735914455.539066,413771.72281393444,"-48.80340842989398, -51.38035293377236"
285,"{'x': 0.016674670333534456, 'y': 0.03425069458803135, 'z': 0.013109380426609984}",1735914456.545187,413769.8389052364,"-48.82559349176643, -51.292488985272826"
286,"{'x': 0.019466747450283022, 'y': 0.033698623675681785, 'z': 0.013393373654510007}",1735914457.54515,413767.9796549778,"-48.84756060362724, -51.20511946809733"
287,"{'x': 0.019273143639188493, 'y': 0.0358580010131866, 'z': 0.013659714356096891}",1735914458.545834,413766.1261610043,"-48.86949372635197, -51.117515045225964"
288,"{'x': 0.019781569842365575, 'y': 0.03293414327374721, 'z': 0.013948999041332814}",1735914459.551289,413764.2729990345,"-48.89146710488039, -51.029374940419636"
289,"{'x': 0.019570783270402698, 'y': 0.03406173868711641, 'z': 0.012250782855395284}",1735914460.5535932,413762.43972334935,"-48.91327831085201, -50.941510156697184"
290,"{'x': 0.017408629271066154, 'y': 0.034046104598391566, 'z': 0.013449263288573873}",1735914461.5558028,413760.61969483906,"-48.934992947498344, -50.85365895909744"
291,"{'x': 0.01911084261771809, 'y': 0.03289310854370754, 'z': 0.013168528705441263}",1735914462.557848,413758.80447883945,"-48.95667714252813, -50.7655529474294"
292,"{'x': 0.01843526055332077, 'y': 0.03326356242354755, 'z': 0.012364436797140749}",1735914463.5573509,413757.00984164665,"-48.97820330210955, -50.67771130123184"
293,"{'x': 0.018298135324302457, 'y': 0.034398402657392475, 'z': 0.011965326002985843}",1735914464.559469,413755.2192872766,"-48.99972251953927, -50.58951757599098"
294,"{'x': 0.01769681417402878, 'y': 0.033468890276724506, 'z': 0.013230519802429746}",1735914465.565286,413753.43455481454,"-49.021239564196954, -50.500948182648415"
295,"{'x': 0.017383418943567694, 'y': 0.03436438612329749, 'z': 0.013898096661239272}",1735914466.567116,413751.6690112917,"-49.04259645168339, -50.41265345868245"
296,"{'x': 0.019400408753591794, 'y': 0.03312420299343166, 'z': 0.011907539501222157}",1735914467.570793,413749.90892117325,"-49.06392936086046, -50.32407101979894"
297,"{'x': 0.018913407544652403, 'y': 0.0322672951961478, 'z': 0.013697055667906837}",1735914468.56884,413748.17060288315,"-49.08506091103673, -50.23593918266737"
298,"{'x': 0.01814027504423525, 'y': 0.03356257260466567, 'z': 0.014067723820549839}",1735914469.574324,413746.4313593169,"-49.10627165800755, -50.14708677233416"
299,"{'x': 0.018226841086881832, 'y': 0.033879419460222264, 'z': 0.01302968448845051}",1735914470.573471,413744.7126133235,"-49.12729467230333, -50.05863051632862"
300,"{'x': 0.0180559996515512, 'y': 0.03510188326839446, 'z': 0.01292347073704954}",1735914471.578384,413742.9975407875,"-49.148345910595346, -49.96966168813474"
301,"{'x': 0.01876310121959581, 'y': 0.0339160002768039, 'z': 0.012533632678266095}",1735914472.583987,413741.2930828896,"-49.169321906882566, -49.88061432789406"
302,"{'x': 0.018300000578165, 'y': 0.03415983302675733, 'z': 0.013176665004326786}",1735914473.586684,413739.6051087848,"-49.19018153829139, -49.7916638429563"
303,"{'x': 0.017086152962620647, 'y': 0.03319015413256241, 'z': 0.013488891916788957}",1735914474.588201,413737.92778461054,"-49.21094970860422, -49.70270534414899"
304,"{'x': 0.017596882427900317, 'y': 0.03370088281808222, 'z': 0.013131381564009139}",1735914475.5957289,413736.257330441,"-49.23172298496962, -49.61332299379146"
305,"{'x': 0.01810864238408886, 'y': 0.034212641992937595, 'z': 0.012773149868143771}",1735914476.599859,413734.5994205578,"-49.252402041143334, -49.52394202080549"
306,"{'x': 0.01861905944689121, 'y': 0.034723058276457046, 'z': 0.012415858196931143}",1735914477.59869,413732.9634937955,"-49.27287602076485, -49.435045594051594"
307,"{'x': 0.019131058806377884, 'y': 0.035235056854245037, 'z': 0.01205745891888501}",1735914478.60705,413731.3254323915,"-49.29346921131193, -49.34522339084753"
308,"{'x': 0.01768544452143558, 'y': 0.033786406206910265, 'z': 0.011341444172406085}",1735914479.61038,413729.70499806927,"-49.31388510212286, -49.25576558991306"
309,"{'x': 0.017591566798388535, 'y': 0.034136432203352766, 'z': 0.011632970370302292}",1735914480.615783,413728.0943131371,"-49.33426877195453, -49.166037864761016"
310,"{'x': 0.018378062194581397, 'y': 0.03424787517190851, 'z': 0.014088655390581135}",1735914481.6121368,413726.51223416155,"-49.354348480427596, -49.07724166666289"
311,"{'x': 0.01877106928290741, 'y': 0.03366071123413415, 'z': 0.01319857233870543}",1735914482.622237,413724.91505544476,"-49.374713742188966, -48.98676559744172"
312,"{'x': 0.0187879987061023, 'y': 0.03401992049018553, 'z': 0.013767920346344747}",1735914483.618142,413723.35431142,"-49.394679223832604, -48.89765288958775"
313,"{'x': 0.018066985945147777, 'y': 0.033671997487545, 'z': 0.014330082212203523}",1735914484.623776,413721.79099957505,"-49.414760601126154, -48.80760563142495"
314,"{'x': 0.017713836910198285, 'y': 0.034550540999727174, 'z': 0.014347622482575251}",1735914485.6232839,413720.2487209821,"-49.43464228613588, -48.71803649272817"
315,"{'x': 0.01776296041269073, 'y': 0.0343249074193695, 'z': 0.012700259333205718}",1735914486.6322298,413718.7065018649,"-49.454629113646995, -48.62756994463167"
316,"{'x': 0.0185439996421337, 'y': 0.0341599993407726, 'z': 0.013619520816857642}",1735914487.6411772,413717.1890810604,"-49.474341980414444, -48.537922099027675"
317,"{'x': 0.017973021212352204, 'y': 0.03420148840201201, 'z': 0.012462276708499717}",1735914488.6387,413715.67179986474,"-49.49416531285785, -48.44734465896563"
318,"{'x': 0.019353857323274593, 'y': 0.0348920002579689, 'z': 0.012290196748355537}",1735914489.636846,413714.179217434,"-49.51372741202388, -48.357535590533054"
319,"{'x': 0.01809052027639395, 'y': 0.035537695953648744, 'z': 0.014082958477206}",1735914490.6446679,413712.688668301,"-49.5333681896728, -48.266934942600166"
320,"{'x': 0.01890124996510719, 'y': 0.03292258941652061, 'z': 0.013751136273140976}",1735914491.648291,413711.21407692425,"-49.55287683980417, -48.17651147772713"
321,"{'x': 0.0178119987249374, 'y': 0.03307531459583602, 'z': 0.014124286775653527}",1735914492.6465678,413709.7588442536,"-49.572210762396864, -48.08646738846955"
322,"{'x': 0.018806305160310274, 'y': 0.03507192694183026, 'z': 0.012779531676816176}",1735914493.654165,413708.30527120305,"-49.59161933953414, -47.99563904554939"
323,"{'x': 0.018329948871492474, 'y': 0.03463302681871656, 'z': 0.013863077120144056}",1735914494.713275,413706.8066628939,"-49.61194323887142, -47.9000521944622"
324,"{'x': 0.017647791896239988, 'y': 0.03350779065884759, 'z': 0.012467111638842655}",1735914495.6633759,413705.44147416484,"-49.63012149288065, -47.81413967260074"
325,"{'x': 0.017764799218506298, 'y': 0.033624797981113896, 'z': 0.010711995105751243}",1735914496.6831129,413704.03187188134,"-49.649219699542314, -47.72344965824804"
326,"{'x': 0.0185819494682264, 'y': 0.033671997487545, 'z': 0.013119965916292012}",1735914497.672229,413702.62926877604,"-49.66831165243373, -47.63234360938676"
327,"{'x': 0.018087047770816194, 'y': 0.03504285484563509, 'z': 0.014027807249831535}",1735914498.675578,413701.2444039915,"-49.68725478235227, -47.54150149102332"
328,"{'x': 0.018260113817131426, 'y': 0.03332828796413214, 'z': 0.013347855866357677}",1735914499.6771111,413699.8728860249,"-49.70611366078632, -47.45061603403009"
329,"{'x': 0.018250213686418926, 'y': 0.03394590317548643, 'z': 0.012344428333202989}",1735914500.679117,413698.5151946185,"-49.72488230920556, -47.35971637465212"
330,"{'x': 0.0178119987249374, 'y': 0.03380588042829084, 'z': 0.013839606595941847}",1735914501.68158,413697.16899492725,"-49.743591879752955, -47.26865105147737"
331,"{'x': 0.01970731713417468, 'y': 0.034273362879654636, 'z': 0.012472340644573317}",1735914502.6866791,413695.83379600296,"-49.76225687318642, -47.1773472169332"
332,"{'x': 0.01875414606683272, 'y': 0.03488071607359285, 'z': 0.014782441665744292}",1735914503.683893,413694.51992937253,"-49.780715768033396, -47.08659811438084"
333,"{'x': 0.01812432851472814, 'y': 0.034238081490187665, 'z': 0.012609917307696356}",1735914504.687435,413693.21195028396,"-49.79920096736823, -46.99526169694377"
334,"{'x': 0.017627214517271592, 'y': 0.03383536549115304, 'z': 0.011948860103261861}",1735914505.6904309,413691.91751943127,"-49.817601202292074, -46.90388375149947"
335,"{'x': 0.018314718245978263, 'y': 0.0342421033846831, 'z': 0.015107080671540561}",1735914506.7061791,413690.6216495174,"-49.83613930597595, -46.81134928157319"
336,"{'x': 0.016633465308060435, 'y': 0.03387453246936099, 'z': 0.013585862887126625}",1735914507.704512,413689.3592858525,"-49.85429847894016, -46.72024076536992"
337,"{'x': 0.01816064983929647, 'y': 0.03485730077061298, 'z': 0.012932551078778434}",1735914508.7027059,413688.1105373236,"-49.87237466941642, -46.62908471923043"
338,"{'x': 0.0175679996609687, 'y': 0.03334767837046904, 'z': 0.012604639988696728}",1735914509.7072692,413686.86699686694,"-49.89048884607516, -46.5372664197241"
339,"{'x': 0.01816855166469404, 'y': 0.033540549577523816, 'z': 0.01394579338800204}",1735914510.714926,413685.63340287964,"-49.90857508733645, -46.44511306325859"
340,"{'x': 0.0175520492423094, 'y': 0.034597323502341765, 'z': 0.01262137100364977}",1735914511.7118201,413684.42697727395,"-49.92637708495555, -46.353936350433806"
341,"{'x': 0.01839215225209731, 'y': 0.034523392155300946, 'z': 0.01287230380647804}",1735914512.7118568,413683.2291211979,"-49.94417300939812, -46.26231649820986"
342,"{'x': 0.017984874518312953, 'y': 0.032960349992999044, 'z': 0.01373512529637206}",1735914513.713121,413682.04238921736,"-49.96191850748315, -46.17047744430714"
343,"{'x': 0.0185439996421337, 'y': 0.03250322473796551, 'z': 0.012165848944308902}",1735914514.711513,413680.87288820255,"-49.97952828538702, -46.07886141198392"
344,"{'x': 0.018730926374943, 'y': 0.034576179314092195, 'z': 0.014008357611876496}",1735914515.7153301,413679.711955213,"-49.99714141225249, -45.9867434561587"
345,"{'x': 0.0187070606487372, 'y': 0.03386203908836695, 'z': 0.01336604041522595}",1735914516.718749,413678.5643622515,"-50.0146756579115, -45.89454983924978"
346,"{'x': 0.01887383864312294, 'y': 0.03446162116168038, 'z': 0.012328756876124843}",1735914517.787822,413677.35538058873,"-50.03328153551696, -45.79618109989577"
347,"{'x': 0.017848745275298315, 'y': 0.035091903439063175, 'z': 0.012724746277453484}",1735914518.7280588,413676.30737991293,"-50.04954671779695, -45.70972493621799"
348,"{'x': 0.01820630177352814, 'y': 0.03372860266753017, 'z': 0.012668491999559864}",1735914519.729433,413675.2039237284,"-50.06679791356127, -45.61754920505938"
349,"{'x': 0.018019305114656662, 'y': 0.03453818650647631, 'z': 0.012236693789279976}",1735914520.731389,413674.1134962337,"-50.0839862047493, -45.52521265244457"
350,"{'x': 0.018302624813873316, 'y': 0.033918624512512215, 'z': 0.013889630011526686}",1735914521.730516,413673.03846479417,"-50.10104535790202, -45.43307215459479"
351,"{'x': 0.017884181542365016, 'y': 0.03454836403959653, 'z': 0.01558854536166278}",1735914522.7341492,413671.97279613215,"-50.11810711680128, -45.34041429815104"
352,"{'x': 0.01823680243910546, 'y': 0.035534425936374237, 'z': 0.012877593448663334}",1735914523.734853,413670.92454196076,"-50.13503553511118, -45.247975715710616"
353,"{'x': 0.0192760005593299, 'y': 0.03502697762653326, 'z': 0.01296834026933405}",1735914524.7390568,413669.887120886,"-50.15193727652449, -45.155173566479924"
354,"{'x': 0.019101771357650767, 'y': 0.0341599993407726, 'z': 0.013070742228108891}",1735914525.7435882,413668.86257039406,"-50.168773058317996, -45.062220068910754"
355,"{'x': 0.019524517125131233, 'y': 0.033635205581082024, 'z': 0.013765344564145568}",1735914526.7457752,413667.85506115115,"-50.185482750862356, -44.96944825783399"
356,"{'x': 0.01818202832983576, 'y': 0.0336467918673372, 'z': 0.01241879404343741}",1735914527.74954,413666.86099906865,"-50.20212433575681, -44.87653737365421"
357,"{'x': 0.01815108596850403, 'y': 0.034534970962358816, 'z': 0.013158057625199938}",1735914528.748353,413665.8842230057,"-50.21862625635164, -44.78388874721496"
358,"{'x': 0.018964206611986518, 'y': 0.033414439881532476, 'z': 0.01339288255342666}",1735914529.755523,413664.9159953567,"-50.23515073879974, -44.69058909298698"
359,"{'x': 0.018062034602268788, 'y': 0.03268996441830761, 'z': 0.012608677864099822}",1735914530.7616482,413663.96091248916,"-50.25161149299035, -44.59711945226842"
360,"{'x': 0.017781602562556464, 'y': 0.03388543760252025, 'z': 0.013328642995976702}",1735914531.76291,413663.02492637676,"-50.267905563686824, -44.5040673572235"
361,"{'x': 0.018363942585133918, 'y': 0.0335239156174921, 'z': 0.01296004710938444}",1735914532.770155,413662.09879662056,"-50.28420201174919, -44.41046702361511"
362,"{'x': 0.017659955609616845, 'y': 0.034700724278258176, 'z': 0.013195616177921594}",1735914533.7698932,413661.19299386453,"-50.30030980903571, -44.31741645803565"
363,"{'x': 0.018604484955194227, 'y': 0.03399263390363113, 'z': 0.011911665155999401}",1735914534.775025,413660.2973974547,"-50.31641456786524, -44.22384448113503"
364,"{'x': 0.017200178388641317, 'y': 0.033468057894392375, 'z': 0.014399641975157033}",1735914535.777456,413659.41899065714,"-50.332390268308906, -44.130481386294846"
365,"{'x': 0.019490540958204947, 'y': 0.0350770819917502, 'z': 0.013370902028328663}",1735914536.780007,413658.5543798452,"-50.34829258017407, -44.037003467133225"
366,"{'x': 0.017589254122440605, 'y': 0.03411545055630421, 'z': 0.013487842427276233}",1735914537.789245,413657.7016652935,"-50.36417260499915, -43.943106458276695"
367,"{'x': 0.018185669201924777, 'y': 0.03300483482335819, 'z': 0.012329669314935178}",1735914538.785931,413656.8691680945,"-50.37985822304699, -43.849810502680846"
368,"{'x': 0.017014342901962687, 'y': 0.0346480011940002, 'z': 0.012415595394007061}",1735914539.794127,413656.0484663032,"-50.3955191005492, -43.75610899602552"
369,"{'x': 0.01784390063051203, 'y': 0.03370389939311963, 'z': 0.014236490803138487}",1735914540.7872279,413655.2460209716,"-50.41102763593069, -43.66276578659412"
370,"{'x': 0.018272074933860145, 'y': 0.03388513200904098, 'z': 0.011894263940662236}",1735914541.794576,413654.45250931423,"-50.42657242632145, -43.56864278233"
371,"{'x': 0.019368318496480706, 'y': 0.03532943820328392, 'z': 0.014748796891011662}",1735914542.797397,413653.6753501314,"-50.44200217773873, -43.47465103841096"
372,"{'x': 0.017420131835136046, 'y': 0.03362393205193849, 'z': 0.014911704422250514}",1735914543.801248,413652.91337640653,"-50.4573419260716, -43.38063988419849"
373,"{'x': 0.0190319996327161, 'y': 0.03384622604654821, 'z': 0.013176413774257675}",1735914544.804288,413652.16668186657,"-50.4725956018482, -43.28658548301947"
374,"{'x': 0.018435480584466292, 'y': 0.033744343710081226, 'z': 0.012859653804036008}",1735914545.808407,413651.435080723,"-50.48777391139896, -43.192421241804325"
375,"{'x': 0.018305175163239956, 'y': 0.03383121421194838, 'z': 0.012772783633743245}",1735914546.819444,413650.7142296133,"-50.50294988411152, -43.09768867193387"
376,"{'x': 0.018175067473828854, 'y': 0.03391795289226994, 'z': 0.012686045284492924}",1735914547.811904,413650.019105456,"-50.517807616654856, -43.004368349891635"
377,"{'x': 0.018044386830212894, 'y': 0.034005073543033365, 'z': 0.012598924966258673}",1735914548.818111,413649.331642166,"-50.53275304585334, -42.90991403054894"
378,"{'x': 0.017913929150219284, 'y': 0.03409204555100365, 'z': 0.012511953290250207}",1735914549.819401,413648.66083945293,"-50.547581121401144, -42.81561329848339"
379,"{'x': 0.018615782886329077, 'y': 0.033930377955594664, 'z': 0.011439242558461293}",1735914550.825208,413648.0038883916,"-50.56236201464909, -42.721019410695476"
380,"{'x': 0.017866638623287058, 'y': 0.034069559899857584, 'z': 0.011495319141739435}",1735914551.824419,413647.3647904502,"-50.576985986008715, -42.62683661634285"
381,"{'x': 0.01792316021122721, 'y': 0.035024838287517956, 'z': 0.013915226026719144}",1735914552.830647,413646.73862564284,"-50.59160473027642, -42.53208731130705"
382,"{'x': 0.018544194204082366, 'y': 0.03485728024478501, 'z': 0.013629087157079224}",1735914553.8281522,413646.1313226288,"-50.606028873196855, -42.43800064342653"
383,"{'x': 0.01757218695437762, 'y': 0.03367339325734213, 'z': 0.0131759997457265}",1735914554.836719,413645.5332049223,"-50.62052910387391, -42.34280751301817"
384,"{'x': 0.018179120295092922, 'y': 0.03387570514311434, 'z': 0.0131759997457265}",1735914555.837111,413644.9555593657,"-50.6348266376253, -42.24833523183096"
385,"{'x': 0.01878622398444823, 'y': 0.034078073811983293, 'z': 0.0131759997457265}",1735914556.845511,413644.38942460326,"-50.64914534526457, -42.15310503751867"
386,"{'x': 0.017385569485585645, 'y': 0.03275756779107985, 'z': 0.01153002503558642}",1735914557.850358,413643.84130554425,"-50.663313529409706, -42.0582559992267"
387,"{'x': 0.018074299124559923, 'y': 0.0331717997419784, 'z': 0.013044849999935377}",1735914558.8530471,413643.30885709386,"-50.677401867901985, -41.963318697176184"
388,"{'x': 0.0202520005404949, 'y': 0.034292855934924996, 'z': 0.012865571706908035}",1735914559.861377,413642.7896271981,"-50.69146246767961, -41.86793756899146"
389,"{'x': 0.018090402419520167, 'y': 0.03422256006972289, 'z': 0.013147841199689519}",1735914560.861207,413642.28996701294,"-50.705335596049856, -41.773198998523306"
390,"{'x': 0.01819270153362692, 'y': 0.03344332679164516, 'z': 0.011803970333434305}",1735914561.870079,413641.803049039,"-50.71923077246429, -41.67767157635499"
391,"{'x': 0.018556613259721137, 'y': 0.03419784038611526, 'z': 0.014318147554600976}",1735914562.86784,413641.3346999241,"-50.73291339231507, -41.58296938654998"
392,"{'x': 0.01790125511582348, 'y': 0.03478786787764223, 'z': 0.012214875810782505}",1735914563.870712,413640.88101392036,"-50.746569223122755, -41.48781126017882"
393,"{'x': 0.017799947945439255, 'y': 0.03454407738860186, 'z': 0.014371896300541306}",1735914564.872242,413640.44387364975,"-50.76012014361877, -41.392738644591674"
394,"{'x': 0.018656402080336597, 'y': 0.0339160002768039, 'z': 0.011520638469177464}",1735914565.8752372,413640.0219867843,"-50.77360470442074, -41.29748089796192"
395,"{'x': 0.01796229998105778, 'y': 0.03416974940732862, 'z': 0.01327945023527768}",1735914566.880787,413639.61496878054,"-50.78704583939303, -41.20187131844907"
396,"{'x': 0.0192760005593299, 'y': 0.033491336099312256, 'z': 0.012760689347303704}",1735914567.887533,413639.2235950592,"-50.800412242862194, -41.10612839784621"
397,"{'x': 0.018482021217250975, 'y': 0.0344039984047412, 'z': 0.012873935739490527}",1735914568.886006,413638.8516339147,"-50.813571787360544, -41.0112066048124"
398,"{'x': 0.017570677439827077, 'y': 0.03464264559540008, 'z': 0.012698710911460975}",1735914569.8839538,413638.49508633924,"-50.826664549015064, -40.91610311223255"
399,"{'x': 0.01761620599940035, 'y': 0.03455158778113982, 'z': 0.01288082584486776}",1735914570.893864,413638.1512580082,"-50.83981288444698, -40.819916625638086"
400,"{'x': 0.017661729482185574, 'y': 0.03446054012053316, 'z': 0.013062920471044855}",1735914571.893423,413637.8263119272,"-50.85275516858572, -40.72455921176206"
401,"{'x': 0.01770715279022117, 'y': 0.03436969281095519, 'z': 0.013244614396693994}",1735914572.897516,413637.51662707113,"-50.865656000635035, -40.6288238288983"
402,"{'x': 0.017752539178125835, 'y': 0.034278919342202764, 'z': 0.01342616064125573}",1735914573.898011,413637.22419225075,"-50.87843250094071, -40.533324847080756"
403,"{'x': 0.017797968513497023, 'y': 0.03418805997786159, 'z': 0.013607878676339266}",1735914574.9021819,413636.9470145661,"-50.891171789704096, -40.43740999228595"
404,"{'x': 0.018027090485113133, 'y': 0.03370090687466878, 'z': 0.013374909175356874}",1735914575.9037461,413636.686959402,"-50.903783996590626, -40.3417550603093"
405,"{'x': 0.018679503202985323, 'y': 0.03474029206111043, 'z': 0.012048292974995049}",1735914576.9014962,413636.4435995953,"-50.91628167550783, -40.24627042714676"
406,"{'x': 0.017471358653554717, 'y': 0.03436715903121514, 'z': 0.013383160226879135}",1735914577.906482,413636.2154755613,"-50.92876214438664, -40.150208929716264"
407,"{'x': 0.01925820450558137, 'y': 0.03384481978710003, 'z': 0.012295307078568279}",1735914578.913866,413636.0033417336,"-50.941194113889914, -40.053801974499635"
408,"{'x': 0.01691819266016818, 'y': 0.03421479542446983, 'z': 0.012959397687708835}",1735914579.9208908,413635.8079517575,"-50.95353366366935, -39.957387047331295"
409,"{'x': 0.018110756412539362, 'y': 0.0354347547288942, 'z': 0.013977647665912968}",1735914580.920395,413635.63078551734,"-50.965664217265335, -39.861886141301554"
410,"{'x': 0.01713823269941487, 'y': 0.03480465060329133, 'z': 0.013088650202183636}",1735914581.919679,413635.46944603126,"-50.977773814187124, -39.765823746240486"
411,"{'x': 0.01843399757880837, 'y': 0.033561995765188514, 'z': 0.014128005379927117}",1735914582.920152,413635.32469271234,"-50.98978259880489, -39.66982854954805"
412,"{'x': 0.0185179787892883, 'y': 0.0344039984047412, 'z': 0.011764040304117531}",1735914583.922209,413635.1963359981,"-51.00172902077858, -39.57359205658877"
413,"{'x': 0.018070840444751504, 'y': 0.034359476138431384, 'z': 0.012384636813633769}",1735914584.928122,413635.0845958898,"-51.01361622527226, -39.477083839051296"
414,"{'x': 0.019070678242248607, 'y': 0.03453196409328416, 'z': 0.011878642845468655}",1735914585.934908,413634.989661127,"-51.025414376300866, -39.38054343963263"
415,"{'x': 0.019548728381843405, 'y': 0.03320908797200278, 'z': 0.011275996458063254}",1735914586.936262,413634.9117818468,"-51.0371028818438, -39.28414149176302"
416,"{'x': 0.018486283554407755, 'y': 0.0356239974498748, 'z': 0.01411999778635662}",1735914587.944062,413634.850457117,"-51.04876234009748, -39.18720947461701"
417,"{'x': 0.018364081379801212, 'y': 0.03433991760310507, 'z': 0.012495754556267828}",1735914588.94316,413634.8064955991,"-51.060240678725904, -39.09101502128756"
418,"{'x': 0.017930635796814896, 'y': 0.034480848537015996, 'z': 0.013371483703089868}",1735914589.952084,413634.779275141,"-51.07170620357108, -38.99414932821422"
419,"{'x': 0.017997423767059643, 'y': 0.03406728596291499, 'z': 0.011297186481860906}",1735914590.9531038,413634.76916489186,"-51.08303050480317, -38.89769497984759"
420,"{'x': 0.018227774814467135, 'y': 0.03474754873057314, 'z': 0.013564450717059182}",1735914591.9560251,413634.7760976921,"-51.09431010281334, -38.800830771961365"
421,"{'x': 0.0186759133962768, 'y': 0.03397319039599265, 'z': 0.0114679997786879}",1735914592.963113,413634.8001781794,"-51.10551040487885, -38.70384813349125"
422,"{'x': 0.018113889066121203, 'y': 0.03397388924945987, 'z': 0.012489445732626512}",1735914593.96206,413634.8412526036,"-51.11656011042045, -38.607370142527955"
423,"{'x': 0.0187741275224401, 'y': 0.03421957438179955, 'z': 0.013235575225940549}",1735914594.966313,413634.8996247294,"-51.12756607395493, -38.51046569092742"
424,"{'x': 0.018948393775569387, 'y': 0.03378120171781524, 'z': 0.0119559997692704}",1735914595.963819,413634.9747490618,"-51.138417498485005, -38.414112771452245"
425,"{'x': 0.0194513052098457, 'y': 0.03361356393320295, 'z': 0.0119559997692704}",1735914596.964237,413635.0671513942,"-51.1492090179001, -38.31747537647529"
426,"{'x': 0.019954486598871987, 'y': 0.033445836163330536, 'z': 0.0119559997692704}",1735914597.963737,413635.176771807,"-51.15990800897164, -38.22084295279153"
427,"{'x': 0.018630399323954987, 'y': 0.03545119874578939, 'z': 0.013376799900107138}",1735914598.9646451,413635.3037293377,"-51.170530934487005, -38.12406589261426"
